propnum,day,oil,gas,water
f899139df5e1059396431415e770c6dd,2020-05-09,0,2211.007551496792,0
f899139df5e1059396431415e770c6dd,2020-05-10,0,2211.006691382194,0
f899139df5e1059396431415e770c6dd,2020-05-11,0,2211.005800466677,0
f899139df5e1059396431415e770c6dd,2020-05-12,0,2211.004878004005,0
f899139df5e1059396431415e770c6dd,2020-05-13,0,2211.003923238318,0
f899139df5e1059396431415e770c6dd,2020-05-14,0,2211.002935404114,0
f899139df5e1059396431415e770c6dd,2020-05-15,0,2211.001913726231,0
f899139df5e1059396431415e770c6dd,2020-05-16,0,2211.0008574198328,0
f899139df5e1059396431415e770c6dd,2020-05-17,0,2210.9997656903884,0
f899139df5e1059396431415e770c6dd,2020-05-18,0,2210.998637733659,0
f899139df5e1059396431415e770c6dd,2020-05-19,0,2210.9974727356794,0
f899139df5e1059396431415e770c6dd,2020-05-20,0,2210.9962698727422,0
f899139df5e1059396431415e770c6dd,2020-05-21,0,2210.995028311381,0
f899139df5e1059396431415e770c6dd,2020-05-22,0,2210.993747208356,0
f899139df5e1059396431415e770c6dd,2020-05-23,0,2210.992425710636,0
f899139df5e1059396431415e770c6dd,2020-05-24,0,2210.9910629553847,0
f899139df5e1059396431415e770c6dd,2020-05-25,0,2210.9896580699433,0
f899139df5e1059396431415e770c6dd,2020-05-26,0,2210.988210171817,0
f899139df5e1059396431415e770c6dd,2020-05-27,0,2210.9867183686574,0
f899139df5e1059396431415e770c6dd,2020-05-28,0,2210.9851817582494,0
f899139df5e1059396431415e770c6dd,2020-05-29,0,2210.983599428494,0
f899139df5e1059396431415e770c6dd,2020-05-30,0,2210.9819704573956,0
f899139df5e1059396431415e770c6dd,2020-05-31,0,2210.980293913047,0
f899139df5e1059396431415e770c6dd,2020-06-01,0,2210.9785688536126,0
f899139df5e1059396431415e770c6dd,2020-06-02,0,2210.976794327316,0
f899139df5e1059396431415e770c6dd,2020-06-03,0,2210.9749693724248,0
f899139df5e1059396431415e770c6dd,2020-06-04,0,2210.973093017236,0
f899139df5e1059396431415e770c6dd,2020-06-05,0,2210.971164280064,0
f899139df5e1059396431415e770c6dd,2020-06-06,0,2210.9691821692218,0
f899139df5e1059396431415e770c6dd,2020-06-07,0,2210.9671456830138,0
f899139df5e1059396431415e770c6dd,2020-06-08,0,2210.9650538097158,0
f899139df5e1059396431415e770c6dd,2020-06-09,0,2210.9629055275655,0
f899139df5e1059396431415e770c6dd,2020-06-10,0,2210.960699804745,0
f899139df5e1059396431415e770c6dd,2020-06-11,0,2210.958435599374,0
f899139df5e1059396431415e770c6dd,2020-06-12,0,2210.9561118594884,0
f899139df5e1059396431415e770c6dd,2020-06-13,0,2210.9537275230327,0
f899139df5e1059396431415e770c6dd,2020-06-14,0,2210.9512815178446,0
f899139df5e1059396431415e770c6dd,2020-06-15,0,2210.948772761644,0
f899139df5e1059396431415e770c6dd,2020-06-16,0,2210.9462001620163,0
f899139df5e1059396431415e770c6dd,2020-06-17,0,2210.943562616404,0
f899139df5e1059396431415e770c6dd,2020-06-18,0,2210.9408590120925,0
f899139df5e1059396431415e770c6dd,2020-06-19,0,2210.9380882261958,0
f899139df5e1059396431415e770c6dd,2020-06-20,0,2210.9352491256464,0
f899139df5e1059396431415e770c6dd,2020-06-21,0,2210.932340567182,0
